nr,tryb,czas,Y,X,H
Auto90496,Measured,05/17/2012 10:13:37,7421860.1262,5545047.2009,238.5309
Auto90497,Measured,05/17/2012 10:13:38,7421860.9221,5545046.654,238.5258
Auto90498,Measured,05/17/2012 10:13:39,7421861.6965,5545046.0386,238.5229
Auto90499,Measured,05/17/2012 10:13:40,7421862.4921,5545045.5351,238.5271
Auto90500,Measured,05/17/2012 10:13:41,7421863.2846,5545045.0029,238.54
Auto90501,Measured,05/17/2012 10:13:42,7421864.0573,5545044.48,238.5186
Auto90502,Measured,05/17/2012 10:13:43,7421864.8419,5545044.0153,238.5269
Auto90503,Measured,05/17/2012 10:13:44,7421865.6049,5545043.4892,238.5165
Auto90504,Measured,05/17/2012 10:13:45,7421866.4181,5545043.1265,238.523
Auto90505,Measured,05/17/2012 10:13:49,7421869.7508,5545041.6976,238.527
Auto90506,Measured,05/17/2012 10:13:50,7421870.5743,5545041.2975,238.5254
Auto90507,Measured,05/17/2012 10:13:51,7421871.4399,5545040.9763,238.5319
Auto90508,Measured,05/17/2012 10:13:52,7421872.2826,5545040.5711,238.5451
Auto90509,Measured,05/17/2012 10:13:54,7421873.8982,5545039.7017,238.5445
Auto90510,Measured,05/17/2012 10:13:56,7423982.5784,5542564.9535,2677.1773
Auto90511,Measured,05/17/2012 10:13:57,7423981.2752,5542567.7315,2675.4194
Auto90512,Measured,05/17/2012 10:13:58,7423979.9241,5542570.2959,2673.7053
