nr,X,Y,H,czas
tAuto61648,5545160.507,7421982.413,239.7171,05/26/2010 13:20:36
tAuto61649,5545160.986,7421981.346,239.7065,05/26/2010 13:20:37
tAuto61650,5545161.402,7421980.357,239.7264,05/26/2010 13:20:38
tAuto61651,5545161.85,7421979.288,239.7133,05/26/2010 13:20:39
tAuto61652,5545162.206,7421978.219,239.711,05/26/2010 13:20:40
tAuto61653,5545162.592,7421977.15,239.7247,05/26/2010 13:20:41
tAuto61654,5545162.948,7421976.06,239.7148,05/26/2010 13:20:42
tAuto61655,5545163.273,7421974.97,239.7105,05/26/2010 13:20:43
tAuto61656,5545163.782,7421973.943,239.7032,05/26/2010 13:20:44
tAuto61657,5545164.2,7421972.854,239.7113,05/26/2010 13:20:45
tAuto61658,5545164.74,7421971.847,239.7085,05/26/2010 13:20:46
tAuto61659,5545165.279,7421970.86,239.7121,05/26/2010 13:20:47
tAuto61660,5545165.911,7421969.934,239.7076,05/26/2010 13:20:48
tAuto61661,5545166.604,7421969.028,239.7171,05/26/2010 13:20:49
tAuto61662,5545167.265,7421968.182,239.7145,05/26/2010 13:20:50
tAuto61663,5545168.019,7421967.318,239.7174,05/26/2010 13:20:51
tAuto61664,5545168.711,7421966.512,239.7144,05/26/2010 13:20:52
tAuto61665,5545169.618,7421965.729,239.709,05/26/2010 13:20:53
tAuto61666,5545170.372,7421964.924,239.7174,05/26/2010 13:20:54
tAuto61667,5545171.28,7421964.081,239.7143,05/26/2010 13:20:55
tAuto61668,5545172.003,7421963.236,239.7151,05/26/2010 13:20:56
tAuto61669,5545172.85,7421962.353,239.7121,05/26/2010 13:20:57
tAuto61670,5545173.543,7421961.428,239.7141,05/26/2010 13:20:58
tAuto61671,5545174.299,7421960.483,239.7234,05/26/2010 13:20:59
tAuto61672,5545174.992,7421959.558,239.7254,05/26/2010 13:21:00
tAuto61673,5545175.687,7421958.553,239.7143,05/26/2010 13:21:01
tAuto61674,5545176.319,7421957.567,239.7206,05/26/2010 13:21:02
tAuto61675,5545176.983,7421956.562,239.7185,05/26/2010 13:21:03
tAuto61676,5545177.584,7421955.556,239.712,05/26/2010 13:21:04
tAuto61677,5545178.217,7421954.53,239.719,05/26/2010 13:21:05
tAuto61678,5545178.789,7421953.464,239.7169,05/26/2010 13:21:06
tAuto61679,5545179.329,7421952.437,239.7304,05/26/2010 13:21:07
tAuto61680,5545179.871,7421951.29,239.7111,05/26/2010 13:21:08
tAuto61681,5545180.32,7421950.202,239.7295,05/26/2010 13:21:09
tAuto61682,5545180.923,7421949.096,239.7221,05/26/2010 13:21:10
tAuto61683,5545181.403,7421947.989,239.724,05/26/2010 13:21:11
tAuto61684,5545181.975,7421946.883,239.7158,05/26/2010 13:21:12
tAuto61685,5545182.485,7421945.795,239.7252,05/26/2010 13:21:13
tAuto61686,5545183.058,7421944.669,239.7161,05/26/2010 13:21:14
tAuto61687,5545183.568,7421943.582,239.7245,05/26/2010 13:21:15
tAuto61688,5545184.08,7421942.415,239.7134,05/26/2010 13:21:16
tAuto61689,5545184.651,7421941.349,239.7285,05/26/2010 13:21:17
tAuto61690,5545185.193,7421940.203,239.7042,05/26/2010 13:21:18
tAuto61691,5545185.765,7421939.116,239.7173,05/26/2010 13:21:19
tAuto61692,5545186.338,7421937.99,239.7167,05/26/2010 13:21:20
tAuto61693,5545186.971,7421936.965,239.7129,05/26/2010 13:21:21
tAuto61694,5545187.543,7421935.898,239.7133,05/26/2010 13:21:22
tAuto61695,5545188.267,7421934.973,239.7176,05/26/2010 13:21:23
tAuto61696,5545188.899,7421933.988,239.7168,05/26/2010 13:21:24
tAuto61697,5545189.745,7421933.184,239.7004,05/26/2010 13:21:25
tAuto61698,5545190.469,7421932.319,239.7198,05/26/2010 13:21:26
tAuto61699,5545191.407,7421931.556,239.7211,05/26/2010 13:21:27
tAuto61700,5545192.16,7421930.731,239.7293,05/26/2010 13:21:28
tAuto61701,5545193.099,7421929.949,239.7148,05/26/2010 13:21:29
tAuto61702,5545193.883,7421929.145,239.7199,05/26/2010 13:21:30
tAuto61703,5545194.822,7421928.302,239.7039,05/26/2010 13:21:31
tAuto61704,5545195.637,7421927.498,239.7237,05/26/2010 13:21:32
tAuto61705,5545196.485,7421926.595,239.7169,05/26/2010 13:21:33
tAuto61706,5545197.27,7421925.711,239.7124,05/26/2010 13:21:34
tAuto61707,5545197.964,7421924.746,239.7169,05/26/2010 13:21:35
tAuto61708,5545198.689,7421923.781,239.7133,05/26/2010 13:21:36
tAuto61709,5545199.26,7421922.775,239.7173,05/26/2010 13:21:37
tAuto61710,5545199.954,7421921.77,239.7179,05/26/2010 13:21:38
tAuto61711,5545200.371,7421920.721,239.7117,05/26/2010 13:21:39
tAuto61712,5545200.912,7421919.654,239.7086,05/26/2010 13:21:40
tAuto61713,5545201.207,7421918.544,239.7145,05/26/2010 13:21:41
tAuto61714,5545201.501,7421917.414,239.7068,05/26/2010 13:21:42
tAuto61715,5545201.795,7421916.324,239.7086,05/26/2010 13:21:43
tAuto61716,5545202.058,7421915.233,239.7043,05/26/2010 13:21:44
tAuto61717,5545202.415,7421914.084,239.7061,05/26/2010 13:21:45
tAuto61718,5545202.77,7421913.014,239.725,05/26/2010 13:21:46
tAuto61719,5545203.22,7421911.827,239.7048,05/26/2010 13:21:47
tAuto61720,5545203.607,7421910.718,239.7189,05/26/2010 13:21:48
tAuto61721,5545204.149,7421909.591,239.708,05/26/2010 13:21:49
tAuto61722,5545204.659,7421908.524,239.7139,05/26/2010 13:21:50
tAuto61723,5545205.139,7421907.377,239.7108,05/26/2010 13:21:51
tAuto61724,5545205.65,7421906.29,239.7199,05/26/2010 13:21:52
tAuto61725,5545206.161,7421905.143,239.701,05/26/2010 13:21:53
tAuto61726,5545206.671,7421904.075,239.7097,05/26/2010 13:21:54
tAuto61727,5545207.181,7421902.949,239.7056,05/26/2010 13:21:55
tAuto61728,5545207.814,7421901.943,239.7034,05/26/2010 13:21:56
tAuto61729,5545208.356,7421900.836,239.7005,05/26/2010 13:21:57
tAuto61730,5545209.05,7421899.851,239.7025,05/26/2010 13:21:58
tAuto61731,5545209.652,7421898.785,239.7068,05/26/2010 13:21:59
tAuto61732,5545210.409,7421897.781,239.7001,05/26/2010 13:22:00
tAuto61733,5545211.042,7421896.736,239.7039,05/26/2010 13:22:01
tAuto61734,5545211.768,7421895.711,239.7072,05/26/2010 13:22:02
tAuto61735,5545212.37,7421894.646,239.7118,05/26/2010 13:22:03
tAuto61736,5545213.126,7421893.642,239.7121,05/26/2010 13:22:04
tAuto61737,5545213.791,7421892.596,239.7109,05/26/2010 13:22:05
tAuto61738,5545214.608,7421891.653,239.7113,05/26/2010 13:22:06
tAuto61739,5545215.303,7421890.628,239.7105,05/26/2010 13:22:07
tAuto61740,5545216.181,7421889.706,239.7051,05/26/2010 13:22:08
tAuto61741,5545216.876,7421888.681,239.7066,05/26/2010 13:22:09
tAuto61742,5545217.785,7421887.799,239.7077,05/26/2010 13:22:10
tAuto61743,5545218.479,7421886.794,239.7119,05/26/2010 13:22:11
